Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,Log_Return,Category
2021-01-04 00:00:00-05:00,META,272.87388692508046,273.0923620269373,263.3603554297846,267.07440185546875,15106100,,,AI_Core
2021-01-05 00:00:00-05:00,META,266.4289601887683,270.5104357887981,266.34949815378604,269.0903625488281,9871600,0.0075483111797824964,1.0075483111797825,AI_Core
2021-01-06 00:00:00-05:00,META,260.18254915137,265.89266234839437,258.2063631514997,261.48345947265625,24354100,-0.028268953983038192,0.9717310460169618,AI_Core
2021-01-07 00:00:00-05:00,META,264.05549761855696,269.72587997913473,262.94327168855403,266.87579345703125,15789800,0.020622084453257195,1.0206220844532572,AI_Core
2021-01-08 00:00:00-05:00,META,266.44878529422607,267.0843602903066,261.3543662192144,265.71392822265625,18528300,-0.004353580440266014,0.995646419559734,AI_Core
2021-01-11 00:00:00-05:00,META,258.67309874273616,261.6423478463724,254.12485257045407,255.05833435058594,30412300,-0.04010175132084681,0.9598982486791532,AI_Core
2021-01-12 00:00:00-05:00,META,254.8497835250912,257.91834481107315,248.5636923990969,249.34820556640625,26383500,-0.02238754047664615,0.9776124595233538,AI_Core
2021-01-13 00:00:00-05:00,META,249.80503713335122,252.188382619965,247.4713326816302,249.8944091796875,19528900,0.0021905255425460624,1.002190525542546,AI_Core
2021-01-14 00:00:00-05:00,META,251.6421841179755,253.26088182402776,242.9131661140982,243.93601989746094,29739400,-0.02384362780178151,0.9761563721982185,AI_Core
2021-01-15 00:00:00-05:00,META,246.1803582278421,252.09902149522745,245.44550116665312,249.61636352539062,24942900,0.023286202793328492,1.0232862027933285,AI_Core
2021-01-19 00:00:00-05:00,META,255.11791059696782,260.38116333981225,250.9669140103909,259.2887878417969,28028500,0.03874915962960257,1.0387491596296026,AI_Core
2021-01-20 00:00:00-05:00,META,267.064434937094,268.44480710364064,261.7714222910091,265.62451171875,25199900,0.024435009047976353,1.0244350090479764,AI_Core
2021-01-21 00:00:00-05:00,META,267.3921687234662,271.70205875894015,265.634427714856,270.97711181640625,20838700,0.020151002115812666,1.0201510021158127,AI_Core
2021-01-22 00:00:00-05:00,META,270.1231077356851,276.5382869759463,270.1131674066485,272.5958251953125,21954000,0.005973616620443378,1.0059736166204434,AI_Core
2021-01-25 00:00:00-05:00,META,276.2106155172923,278.1570109214201,269.626601592223,276.0815124511719,19087000,0.01278701628450074,1.0127870162845007,AI_Core
2021-01-26 00:00:00-05:00,META,276.21062473395097,283.41033323994316,275.88289689272744,280.0934753417969,19373600,0.014531805679435239,1.0145318056794352,AI_Core
2021-01-27 00:00:00-05:00,META,280.57013844262696,281.4837699008926,266.26009441224045,270.2522277832031,35346200,-0.035135583028431894,0.9648644169715681,AI_Core
2021-01-28 00:00:00-05:00,META,275.25724544437986,284.800598380068,262.8638363318904,263.1617431640625,37758800,-0.026236544569129827,0.9737634554308702,AI_Core
2021-01-29 00:00:00-05:00,META,263.45964586527754,264.71091515254716,253.08215396222317,256.5379943847656,30389500,-0.025169877276452923,0.9748301227235471,AI_Core
2021-02-01 00:00:00-05:00,META,257.7196963932303,262.3374635439147,253.14169055369038,260.19244384765625,22914300,0.014245256230582148,1.0142452562305821,AI_Core
2021-02-02 00:00:00-05:00,META,262.16867372961775,266.9850361074179,261.44372671411134,265.227294921875,17320800,0.019350489198551424,1.0193504891985514,AI_Core
2021-02-03 00:00:00-05:00,META,263.7774390975395,267.3326222811993,262.0097878354705,264.80029296875,14223400,-0.001609947246382637,0.9983900527536174,AI_Core
2021-02-04 00:00:00-05:00,META,265.157769593735,266.2997860181599,262.168640172673,264.641357421875,16060000,-0.0006002091051076075,0.9993997908948924,AI_Core
2021-02-05 00:00:00-05:00,META,264.94923410714415,267.3028192101267,263.82709821386266,266.240234375,12454400,0.006041674546643838,1.0060416745466438,AI_Core
2021-02-08 00:00:00-05:00,META,266.8857343995216,267.98802000221724,263.16174740790035,264.73077392578125,13755200,-0.005669542970326069,0.9943304570296739,AI_Core
2021-02-09 00:00:00-05:00,META,264.59177204978135,271.49357368908437,263.9065559898149,267.5809020996094,14613400,0.010766138486896004,1.010766138486896,AI_Core
2021-02-10 00:00:00-05:00,META,270.56012457952625,271.90073587094,265.8629239761693,269.984130859375,14687200,0.008981316457596034,1.008981316457596,AI_Core
2021-02-11 00:00:00-05:00,META,270.0039992694149,271.6822483903936,266.62755975361455,268.514404296875,12828600,-0.005443751667261965,0.994556248332738,AI_Core
2021-02-12 00:00:00-05:00,META,268.6434160254985,269.2988413011865,266.4785457640893,268.6235656738281,9097600,0.0004065382534652606,1.0004065382534653,AI_Core
2021-02-16 00:00:00-05:00,META,268.9214954462222,274.68128004000954,268.17669806558547,272.06951904296875,15417200,0.012828187134277025,1.012828187134277,AI_Core
2021-02-17 00:00:00-05:00,META,269.35844805841447,272.0695214581162,267.70995953793226,271.67230224609375,12763200,-0.0014599827215935335,0.9985400172784065,AI_Core
2021-02-18 00:00:00-05:00,META,267.70007590425774,270.0635713617295,264.18462340424156,267.5213317871094,15249100,-0.015279328899801548,0.9847206711001985,AI_Core
2021-02-19 00:00:00-05:00,META,267.9880178207571,268.3951773652327,258.34538273459236,259.74560546875,25622600,-0.029065817915960523,0.9709341820840395,AI_Core
2021-02-22 00:00:00-05:00,META,256.1606138777245,261.2450916067546,255.74351408166407,258.5240783691406,17434900,-0.0047027825452713445,0.9952972174547287,AI_Core
2021-02-23 00:00:00-05:00,META,257.69985037363546,265.60462342546225,253.191350988149,264.0157165527344,21924600,0.021242269649453638,1.0212422696494536,AI_Core
2021-02-24 00:00:00-05:00,META,260.5102862251556,264.5322108365345,256.5976446434324,262.4765625,15736100,-0.005829781926739774,0.9941702180732602,AI_Core
2021-02-25 00:00:00-05:00,META,260.480444082425,265.08827150301914,252.2777481716755,252.92324829101562,19053100,-0.036396827655743036,0.963603172344257,AI_Core
2021-02-26 00:00:00-05:00,META,254.6909301136926,263.7079309890507,254.6909301136926,255.83294677734375,26619500,0.011504274541738413,1.0115042745417384,AI_Core
2021-03-01 00:00:00-05:00,META,259.0107326162491,264.8002773245595,256.11097494456624,263.0723571777344,22157300,0.0282974123997064,1.0282974123997064,AI_Core
2021-03-02 00:00:00-05:00,META,263.9363364333064,264.8598779371174,256.85579095898794,257.203369140625,15191700,-0.022309406051142955,0.977690593948857,AI_Core
2021-03-03 00:00:00-05:00,META,258.4844284037407,259.1795544591081,253.33042797944327,253.63827514648438,15513500,-0.013860992591397281,0.9861390074086027,AI_Core
2021-03-04 00:00:00-05:00,META,254.6909316482942,264.64141445272037,251.74153259851408,255.8528289794922,31626500,0.008731150027450951,1.008731150027451,AI_Core
2021-03-05 00:00:00-05:00,META,258.8617429438541,263.6085828239285,253.83683148586977,262.4466857910156,26820100,0.025772069192371294,1.0257720691923713,AI_Core
2021-03-08 00:00:00-05:00,META,263.7078969878338,263.7376876689268,253.28074947590162,253.5389404296875,18391800,-0.03394116155241256,0.9660588384475874,AI_Core
2021-03-09 00:00:00-05:00,META,259.3681806663693,266.6671995974328,258.0076892388815,263.89654541015625,22039700,0.0408521269471076,1.0408521269471076,AI_Core
2021-03-10 00:00:00-05:00,META,266.7764540911978,267.1041515407455,261.04646128800994,263.0623779296875,14210300,-0.0031609640026635244,0.9968390359973365,AI_Core
2021-03-11 00:00:00-05:00,META,266.2501095648282,275.97220493665156,265.96214311161896,271.9801025390625,21834000,0.03389965786654048,1.0338996578665405,AI_Core
2021-03-12 00:00:00-05:00,META,267.2730343215098,267.86884797479286,262.1885254683939,266.53814697265625,20600200,-0.0200086532639816,0.9799913467360184,AI_Core
2021-03-15 00:00:00-04:00,META,267.2134253470967,274.0457048286008,266.63746204114943,271.8510437011719,16844800,0.0199329694036654,1.0199329694036654,AI_Core
2021-03-16 00:00:00-04:00,META,274.1648374392851,280.1828274899557,272.89371792930007,277.3426513671875,22437700,0.020200796698254253,1.0202007966982543,AI_Core
2021-03-17 00:00:00-04:00,META,273.7974438086778,284.24448797008944,273.49953697383603,282.0398864746094,21315000,0.016936576773411538,1.0169365767734115,AI_Core
2021-03-18 00:00:00-04:00,META,277.92861547763636,283.211719403557,276.3496484982736,276.6872863769531,18728300,-0.018978167111615707,0.9810218328883843,AI_Core
2021-03-19 00:00:00-04:00,META,279.26921858795276,290.76887646170974,279.2493682351889,288.0975341796875,38930500,0.04123878603944697,1.041238786039447,AI_Core
2021-03-22 00:00:00-04:00,META,288.4352224866444,297.6309672357557,284.7608764742998,291.5037841796875,28273100,0.011823252877532386,1.0118232528775324,AI_Core
2021-03-23 00:00:00-04:00,META,291.11646090364803,295.9328233174748,287.79963356760106,288.61395263671875,23000900,-0.009913530114543545,0.9900864698854565,AI_Core
2021-03-24 00:00:00-04:00,META,288.98135511711854,289.69636174407646,279.2096180859463,280.1828308105469,18675000,-0.029212454038160196,0.9707875459618398,AI_Core
2021-03-25 00:00:00-04:00,META,279.0309091806208,286.06178331046056,275.82330413065733,276.8064270019531,24505600,-0.01205071630844079,0.9879492836915592,AI_Core
2021-03-26 00:00:00-04:00,META,276.3694427158467,282.5264459269405,275.84312049630233,281.05670166015625,17629200,0.015354681985664698,1.0153546819856647,AI_Core
2021-03-29 00:00:00-04:00,META,283.7876255653244,291.1462266275226,282.7250711018045,288.8026123046875,21718800,0.02755995711462278,1.0275599571146228,AI_Core
2021-03-30 00:00:00-04:00,META,287.819489559495,290.44119091458725,284.7112272475432,286.002197265625,17474500,-0.009696640264832745,0.9903033597351673,AI_Core
2021-03-31 00:00:00-04:00,META,287.9783924701882,294.44324370782823,286.60796038240426,292.4869079589844,19498200,0.02267363941731082,1.0226736394173108,AI_Core
2021-04-01 00:00:00-04:00,META,296.33005070789403,300.3023034795974,294.54254908298094,296.5882568359375,17616000,0.014022333189450897,1.014022333189451,AI_Core
